Item,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,A6,B6,A7,B7,A8,B8,A9,B9,A10,B10,A11,B11,A12,B12,A13,B13,A14,B14,A15,B15,A16,B16,A17,B17,A18,B18
1ab,5,5,5,5,2,2,6,5,4,4,1,1,4,2.5,5,4,3,3.75,5,4,3,3,3,4,1.5,1.5,3,1.5,4,3,2,2,6,6,19,19
1ab,2.5,2.5,3,1.5,3,2,6,6,3.5,4,1,1,2,2,6,5,4,4,4,2,6,4,5,5,2,2,2.5,2.5,3,2,1,1,4.5,4.5,17,17
1ab,5,5,4,4.5,2,1.5,2,2,4,4,0,0,0,0,3,2,1,2,4,3.5,4,3.5,0,1,2,1.5,3,3,0,1,0,0,2,0,11,11
1ab,5,5,2.5,2.5,2,1,3,2,4,3,2,2,0,0,3,1,2.5,2.5,1,1,2,3,0,0,2,2,2,2,1.5,1.5,0,0,0,0,8,8
1ab,1.5,2,0,1,1,0.5,0,1,2,1,0,0.5,0,0,3,1.5,0,0,1,1,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,13,13
1ab,0,0,2,1,3,1.5,0,0,2,1.5,0,0,0,0,0,3,3.5,4,4,3,2,1,0,0,2,2,3,1.5,5,5,0,0,4.5,4.5,14,14
1ab,5,5,5,5,3,3,5,7,3,2,0,1,2,3,7,5,4,3.5,4,2,4,3,4,5,2,2,1.5,1.5,4,4,2,2,4.5,4.5,16,16
1ab,5,5,5,5,2,2,6,7,3,3,1,1,2,2,6,3,4,4,5,4,5,5,5,4,2,2,3,3,7,5,0,0,6,6,19,19
1ab,5,5,5,5,3,3,3,5,4,4,2,2,5,3,8,7,4,4,4,4,6,6,3,5,2,2,3,3,4,3,1,2,6,6,19,19
1ab,5,5,3.5,4,2,2,0,0,2,3,0,1,1.5,2,6,6,3,3,3,2,1,2,2,2,1.5,1.5,2.5,3,3,3,0,1,4.5,4.5,17,17
1ab,2.5,2.5,3,3,0,1,0,0,3,3,0.5,1,1,2,3,0.5,3.5,3.5,1,1,1,2,0,0.5,2,1.75,3,1,1,1,0,0,0,0,10,10
1ab,4,4.5,2.5,3,3,3,0,0,4,3,1,1,3,4,6,6,1.5,3,3,4,1.5,4,0,0.25,2,2,3,3,1,1,0,0.5,3,3,14,14
1ab,4.5,5,3,2,3,2.5,0,0,3.5,3,0,0,0,0,4,1,4,4,3,4,3.5,4,3,2,2,2,2.5,1.5,0,0,0,0,2,3,13,13
1ab,4.5,4.5,4,4.5,3,3,4,5,3,1,0,0.5,2,5,7,5,4,4,5,4,3,4,2,2,2,2,3,3,4,5,0,1,4.5,4.5,20,20
1ab,3.5,3.5,3,3.5,3,2.5,0,0,2,1,0,0.5,0,0,6,4,2.5,2.5,1,1,1,3,0,0,1.5,1.5,3,3,2,2,0,0,4.5,4.5,16,16
1ab,4.5,4.5,4,4.5,2.5,2,1,3,4,3.5,0,1,4,3,5,4,3.5,4,2,2,1,1.5,2,1,2,2,3,3,1,1,0,0.5,6,6,17,17
1ac,0.5,0.5,0,0,3,2.5,0.5,0.5,0,0,0,0.5,4,4,3,3,2.5,2.5,5,2,1.5,1,0,0,1.5,1.5,1.5,1.5,0,2,0,0,0,0,14,14
1ac,4,4,4,5,3,3,1,2,3.5,3.5,0,0,2.5,2,5,3,3,4,4,3,5,5,0,0,1.5,1.5,3,3,2,2,1,1,6,6,18,18
1ac,5,5,4,5,3,3,0,0,4,3.5,0,0.5,0,0,4,4,0.5,1,3.5,2.5,2,3,1,2,2,1.5,3,3,4,2,0,0,0,0,15,15
1ac,4,4,4,4,3,3,1,0,1.5,3.5,0,0,2,2,4,4,0,0,2.5,1.5,1,2,0,0,1,1,1.5,1.5,1.5,1,0,0,6,6,11,11
1ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ac,5,5,4,1,2,3,0.5,0,4,3.5,1,1,3,4,5,5,3,3,4,3,2,5,2,2.5,2,2,1.5,1.5,1.5,1,0,1,5,4.5,16,16
1ac,2.5,2.5,0,0,3,2,0,0,0,0,0,0,1.5,2,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,9,9
1ac,0,0,0,0,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,9,9
1ac,4.5,4.5,3,3,1.5,2,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1.5,3,1.5,0,0,0,0,0,0,10,10
1ac,4.5,4.5,5,4,2,2,2,1,3.5,3,1,1,0,0,4,4,3,3,5,3,4,4,2.5,3,2,2,3,1.5,2,1,0,0,4.5,4.5,15,15
1ac,0,0,0,0,1,1.5,1,2,0,1.5,0,0,0,0,6,5,1.5,1.5,2.5,1.5,3,3,0,0,1.5,1.5,0.5,1.5,0,0,0,0,0,0,15,15
1ac,4,4,4,4,3,3,2,2,4,3.5,0,1,0,1,5,5,0,0,2,2.5,2,1.5,2,3,2,2,0,0,5,5,0,0,6,6,12,12
1ac,5,5,4,4,3,3,5,5,4,3.5,0,0.5,2.5,2,5,5,4,4,5,4,6,5,2,3,2,2,3,3,3,4,0,0,6,6,13,13
1ac,5,5,5,5,3,3,1,0,3.5,4,0,0,4,6,8,7,4,4,5,4,5,6,2,2,2,2,1.5,3,6,4,0,0,4.5,4.5,17,17
1ac,2.5,3,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0.5,1,0,1,0,1,2,2,0,0,0,0,0,0,3,1,11,12
1ad,4,4,3,5,2.5,3,3,4,3,4,0,0,4,3,8,8,3.5,4,4,3,3,6,4,3,2,2,1.5,1.5,3,2,1.5,2,4.5,4.5,15,15
1ad,4.5,4.5,5,5,3,3,5,4,3.5,4,1,0,6,3,6,6,2,2,5,5,4,2,2,2,1.5,1.5,1.5,1.5,5,5,2,2,3,3,17,17
1ad,4,5,3,5,2,0,0,0,0.5,0,0,0,0,0,4.5,4,4,4,3,3,4,2,0,,2,2,3,3,3,6,0,"",4.5,4.5,12,12
1ad,2.5,3,3.5,4,2.5,2,1,0,3.5,2.5,0,0,1,0,6,8,2.5,3,3,3,2,0,1.5,0,2,2,3,3,3,5,0,0,6,6,16,16
1ad,5,5,4.5,4.5,3,3,0,0,4,4,1,1,3,3,6,6,2,3,5,4,0.5,0.5,0,0,1.5,1,2,3,0,0,0,0,1,0,13,13
1ad,4.5,4.5,1,0,2,1,0,0,2,4,1,1.5,0.5,2,5,4,3,4,5,2,4,3,3,4,1,1,0,0,2,1,0,0,1,1,14,14
1ad,5,5,5,5,3,3,5,7,4,4,0,0,4,3,6,6,3.5,3,5,2,4,4,4,5,2,2,1.5,2,7,7,2,2,6,6,20,20
1ad,4.5,5,5,4.5,3,3,2,0,3.5,4,0,0,1,0.5,6,4,4,4,0.5,1,3,6,0,0,2,2,1.5,3,3,3,0.5,"",6,6,16,16
1ad,5,5,5,5,2.5,3,5,4,4,4,1,1,6,4,7,6,4,4,4,2.5,3,5,5,5,2,2,3,3,6,6,2,2,6,6,19,19
1ad,5,5,4,5,1.5,3,5,3,3,4,1,1,4,3,3,4,4,4,3.5,2,6,3,2.5,2.5,2,2,3,3,6,4,1,1,4.5,6,13,13
1ad,1.5,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,7,7
1ad,1,2,0,0,1,0,1,0,4,2,0,0,0,0,4,2,0,0,3,1,2,0,0,0,2,2,2,2,2,0,2,1,1.5,0,11,11
1ad,4.5,4.5,5,4.5,3,3,2,0,4,4,1.5,1,5,4,8,8,3,3,5,5,5,3,3.5,5,2,2,3,3,3,1,0.5,0.5,6,6,17,17
1ad,2.5,3,0,0,2.5,3,0,0,4,2.5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,15,15
1ad,5,5,0,,3,3,0,,4,3.5,0,,0,,5,7,3.5,4,4,2,2,3,3,5,2,2,1.5,3,0,,0,"",0,,13,13
1ad,5,5,4.5,5,3,3,7,3,3.5,2.5,0,,6,3,3,3,4,4,4,2,2,3,0.5,2,2,2,2,3,3,2,0,"",6,4,16,16
1ae,5,4.5,4.5,4.5,3,3,5.5,5,4,3.5,1,2,5.5,4,7,5,2.5,1.5,2,0,2.5,2,2,1,2,1.5,1.5,1.5,2,2,0,0,6,6,18,18
1ae,4.5,4.5,4,4,3,3,7,6,4,4,1,1,4,3,6,6,4,4,5,5,5.5,5,4.5,4,2,1.5,3,3,7,7,2,2,6,6,19,19
1ae,3.5,4,1.5,2,1.5,2,0,0,4,3,0,1,0,0,5.5,4,1.5,2,4,3,5,5,2,3,1.5,1.5,1,1,4,2,0,0,0,0,0,0
1ae,4.5,4.5,3,4,3,3,0,1.5,4,3.5,1.5,2,2,3,3.5,3,3.5,4,4,5,2.5,5,0,0,2,2,3,1,3,3,0,0,0,0,17,17
1ae,4,4.5,3,4.5,1.5,1,6,5,4,3,1,1,5,3,6,5.5,4,4,3.5,3.5,4.5,5,4.5,3,2,2,3,2,2,1,0,0,0,0,14,14
1ae,0.5,0.5,0,0,2,1,0,1,1.5,1.5,0,0,2,2,3,3,0,0,2,2,3,1.5,0,1,2,2,2.5,1.5,0.5,0,0,0,0,0,9,9
1ae,5,5,3,3.5,3,3,0,0,1.5,2,0,0.5,0,0,6,4,0,0,0,1,0,0,0,0,2,2,1.5,1.5,0.5,0,0,0,0,1,11,12
1ae,3.5,3.5,0,0,0.5,1.5,0,0,2,2,0,0,2,0,0,1,0,0,1,1,0,0.5,0,0,0.5,0.75,0,0,0,0,0,0,0,0,9,9
1ae,4.5,4,4,5,3,3,1,2,2,2.5,0,0,6,4.5,6,3,3,3,1,1,1.5,1,0,1.5,2,1.5,3,3,3,2.5,2,2,1.5,1,16,16
1ae,3.5,4,4,4,3,3,4,4.5,4,4,1.5,1.5,6,5,7,5.5,4,4,5,4.5,5,5,5,4.5,2,2,3,3,7,7,2,2,6,6,20,19
1ae,4,4,2.5,3.5,0,0,1,0,3.5,3.5,0,1,0,0,6,4.5,0.5,1,1,0.5,1.5,0,0,0,2,2,3,2,1,0,0,0,0,1,15,15
1ae,1,1,0,0,2.5,3,0,0,1,2,0,0,0,0,2,5,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7
1ae,4,4,2,3.5,2,2,1,2,2,2,0,1,0,1.5,5,4,3,3,1.5,1.5,1,1.5,0,0,2,2,1.5,1.5,0.5,0.5,0,0,5,4.5,15,15
1ae,3.5,3.5,2.5,3,0,1,1,2.5,3.5,3,1,1,1,2,4,4,1.5,1.5,5,5,0,1.5,0,0,2,2,3,3,0,0,0,1,4.5,4,15,15
1ae,4.5,4.5,3.5,4,3,3,3,3,0,1.5,0,0,3,1.5,7,5,3,3,1,2,2,3,1,1,2,2,1,1.5,0,1,0,0,0,0,11,11
1ae,1.5,1.5,0,0.5,2,2,1,1,1,1.5,0,0,0,0,2,2,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,10,10
1af,5,5,5,5,3,3,7,7,3.5,3.5,1,1,5,5,7,7,4,4,3.5,3.5,5,5,5,5,2,2,3,3,5,5,2,2,3,3,20,20
1af,2.5,2.5,0,0,2.5,0.5,0,0,0,0.5,0,0.5,0,0.5,2,2,2.5,2.5,4,3,1,0,0,0,1.5,1.5,1.5,2,2,2,0,0,4.5,4.5,15,15
1af,3.5,3.5,3,2.5,2,1,0,0,0,2.5,0,0.5,1,1,2,1,2,2,3,3,0,0,0,0,2,2,2,3,0,1,0,1,6,6,9,9
1af,3.5,3.5,5,4,2,2,1,1,4,4,1.5,1,0,0,4,2,3,4,4,3,3,2,0,0,1.5,2,2.5,3,0,3,0,0,3,2,13,12
1af,5,5,3,3,3,3,4,4,3.5,3.5,1,0.5,4,4,7,7,4,4,4.5,4,2.5,3,5,5,2,2,3,2,7,7,1.5,2,6,6,18,18
1af,2,2,0,0,0.5,1,0,0,3,2,0,0.5,0,1,2,0.5,0,0,0,1,0,0,0,0,1.5,2,1.5,1.5,2,1,0,0,0,0,15,15
1af,0,1,0,0,3,1.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
1af,5,5,2,2,2,1,0,0,3.5,3.5,0,0.5,0.5,0.5,2,0,0.5,0.5,2,2,1,1,0,0,2,2,3,2.5,2,2,0,0,1.5,2,14,14
1af,4.5,5,5,5,3,3,5,5,3,3.5,1,1.5,5,4,6,7,4,4,3,3.5,2,3,2,3,2,2,3,3,2,3,2,2,6,6,16,16
1af,5,5,3,3,3,3,7,6,3,3,0,0.5,5,3,7,7,4,4,4,4,6,4,5,5,2,2,3,3,5,6,0,0,6,6,19,19
1af,5,5,2,2.5,2,1,0,0,2.5,2,1,1.5,0,0,5,5,4,3,2,2,3,3,3,2.5,2,2,1.5,1.5,1,2,0,0,0,0,16,16
1af,2.5,3.5,0,2.5,0,0,0,0,0,3,1,1.5,0,0,5,4,1.5,2,1,0,1,0,0,0,1,1.5,0,0,0,0,0,0,0,0,10,10
1af,4,4,0,0,3,3,0,0,3,4,0,0,0,0,4,4,3.5,3.5,2,2,2,1,0.5,0.5,2,2,0,0,0,1,0,0,0,0,13,13
1af,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,1,0,0,0,0,2,1.5,0,0,0,0,0,0,0,0,15,15
1af,4,3.5,3,4,2,2,0,0,3,3.5,0,0,2,2,5,5,3.5,4,2.5,2,2,3,0,0,2,2,3,3,2,3,0,0,0,0,14,14
1af,4,4.5,3.5,5,1,2.5,2,2,2.5,2,0,0,3,3,5,2,4,4,3,5,3,3,2,3,2,2,3,3,0,0,0,0,4,2,14,14
1ag,3.5,3.5,0,0,2.5,3,0,1,4,2.5,0,0.5,4,4,5,3.5,0,0,0,1,0,0,0,0,1.5,1.5,2,3,0,0.5,0,0,3,1.5,11,11
1ag,4,4.5,5,5,3,3,7,5.5,4,4,1,2,4.5,5,4,5,3,3.5,3.5,4,4,5,2,2.5,2,2,3,3,0,1.5,2,2,4.5,3,18,18
1ag,5,5,5,5,3,2.5,6,6,2,0.5,0,0,0,0,5,5,1,1,3.5,4,2,2,0,0.5,0.5,0.5,0,0,0,1.5,0,0,3,4,14,14
1ag,1,0.5,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,6,6
1ag,5,4,5,5,3,2.5,6,5,3.5,3.5,0.5,1,0,4,6,7,4,4,2.5,4,5,6,3.5,3.5,2,2,3,3,7,5,1,2,1.5,6,16,16
1ag,4,4,3,5,2,2,0,0,3,3.5,0,0,0,0,3,4,0,0,0,1,0,0,0,0,2,2,1.5,3,0,1.5,0,0,0,0.5,11,12
1ag,4.5,4.5,5,5,3,3,2,5,3.5,3,1,2,3,5,6,7,4,4,5,5,5,6,4.5,5,2,2,3,3,1,2,1,2,6,6,18,18
1ag,2.5,2,2.5,3,2,1.5,1,2,1.5,1,0,0.5,0,2,0,0,3,2,0,1,1,3,0,0,0.5,0.5,0,0,0,0,0,0,6,4.5,10,10
1ag,0,0.5,0,0,1.5,2.5,0,0.5,3,3.5,0,0,0,2,0,1,1,1,2,3,0,3,0,0,1,1,1.5,3,1,3,0,0,4,5,7,7
1ag,5,5,3,5,2,1,1,3,0,2,1,2,0,3,3,2,3.5,4,3.5,4,2,4,1,4,2,2,1.5,3,1,0.5,1,1,3.5,3,14,14
1ag,5,5,3,5,3,3,0,0,0,4,0,1,4,3,5.5,4,3,3,3.5,4,3,6,0.5,5,2,2,1.5,3,3,5,2,2,4.5,5,17,16
1ag,1,1.5,3,2.5,3,3,1,3,4,4,0,1,0,3,5,7,1,1,4,3,2,5,1,2,2,2,3,3,3,5,2,2,6,5,16,16
1ag,0,0,0,,0,0,0,,0,3,0,,0,,0,,0,,1,1,0,,0,,1,1,0,,0,,0,"",0,,11,11
1ag,4.5,4,4.5,5,1,2.5,1,3,2,3,0,0,5,5,3,5,4,4,2.5,4,2,4,1,3,2,2,1.5,3,0,3,0,0,6,5.5,18,18
1ag,5,4,5,5,3,3,3,7,4,4,2,2,6,6,6,7,4,4,4,5,5,6,4,5,2,2,3,3,7,7,2,2,6,6,20,20
1ag,5,5,3.5,2,2,3,0,0,3.5,2,0.5,2,0,0,3,6,3.5,4,2.5,5,0.5,4,0,0,1.5,2,1,3,1,0.5,0,0,0,0,13,13
1bc,5,5,4,4,2,2,5,5,3,3,1,1,1,1,2,3,1.5,1.5,1,1,1,1,0.5,0,1.5,2,2.5,3,1,2,4,0?,0,6,16,16
1bc,5,5,5,5,2,2,1,1,2,2,0.5,1,0,0,3,3,3.5,4,1.5,1,4,4,0,0,2,2,2,2,2,2,0,0,4,6,16,16
1bc,5,5,5,5,2.5,2,1,1,1.5,2,0,0,0,0,2,3,3,2,1,1,1,1,0,0,2,2,1.5,3,1,2,0,0,4.5,5,11,11
1bc,5,5,5,5,3,3,0,0,2,2,0.5,1,0,0,3,3,3.5,3.5,2,2,4,5,4,4,1.5,1.5,1.5,1.5,0,0,0,0,4.5,5,13,13
1bc,5,5,5,5,3,3,5.5,6,4,4,1,1,4,5,7,7,4,4,3.5,4,6,6,5,5,2,2,3,3,2,6,7,2,6,6,17,17
1bc,4.5,4.5,5,5,2,2,0,0,1,1,0,0,4,4,4,4,3.5,3.5,3,3,1,1,0,0,1.5,1.5,3,3,5.5,5.5,0,0,6,6,14,14
1bc,4.5,4.5,5,5,3.5,4,6.5,6,1.5,1.5,1,1,5,5,6,6,4,4,3,3,4,4,4,5,2,2,2,2,4,4,2,2,6,6,16,16
1bc,5,5,4,4,3,3,1,0,4,4,0,0,3.5,4,1,2,2.75,2.5,0.5,1,2,2,0,0,1.5,1.5,0,0,3,3,0,0,0,0,16,16
1bc,5,5,4,4,1.5,1,1,1,3,3,1,1,0.5,0,2,2,0,0,1.5,2.5,1,1,0,0,1.5,1.5,1.5,2,1.5,2,0,0,3,3,11,11
1bc,4.75,4.5,4.5,4,3,3,0,0,2,2,1,1,2,2,1.5,2,4,4,2,3,2,2,1,1,2,2,1.5,1.5,2,2,1.5,1.5,0,0,14,14
1bc,4.75,4.5,5,5,1,3,0,0,2,2,0,0,1,0.5,2,2,3,3,2,3,1.5,1.5,0.5,0.5,2,2,1.5,1,0,0,0,0,0,0,10,10
1bc,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1bc,4.5,4.5,4.5,5,1,2,4,4,4,4,1,2,3,3,4,4,3,3,3,3,2.5,2,0.5,0.5,2,2,3,3,2,2,4.5,0,0,4,17,17
1bc,2,2.5,1,1,1,3,0.5,0,0.5,1,0.5,1,0,0,0,0,0,0,1,2,0,0.5,0,0,2,2,3,3,1,2,0,0,4.5,5,15,15
1bc,0,0.5,0,1,0,,0,,0,,0,0.5,0,,0,,0,,0,1,0,,0,,0,,0,,0,0.5,0,"",0,,10,10
1bc,5,5,4.5,5,2,2,7,7,3,3,1,1,5,5,5,5,3.5,4,2,2,3,3,4,4,1.5,1.5,1.5,1.5,3,3,1,1,6,6,20,20
1bd,2.5,3.5,0,0,0,2,0,0,0.5,2,1,0,2.5,2,0,0,0.5,1,2.5,2,2,0,0,0,1,1.5,0,0,2,0,0,0,0,0,8,8
1bd,5,1,0,0,2.5,3,0,0,1.5,2,1.5,1,2,2,1,2,0.5,1.5,2,2,1,1,1,2,1.5,2,1.5,2,0.5,2,0,0,4,3,16,16
1bd,5,5,5,5,3,3,7,7,2.5,3,0.5,1,5.5,5,7,8,4,4,4,5,4,5,5,5,2,2,1.5,3,6,7,2,2,6,6,17,17
1bd,5,5,5,5,3,3,3,5,3,3,1,0,2,4,4,6,1.5,1.5,3,3,2,0,0,0,2,1.5,3,3,3,0,0,0,0,0,19,19
1bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1bd,4,5,5,5,3,3,6,7,4,4,0.5,0,5.5,5,6,6,4,4,2,5,6,6,5,5,1.5,2,3,3,7,7,2,2,4.5,6,16,16
1bd,3.5,3,2.5,2.5,2,3,5.5,5,3.5,4,0.5,0,2,3,0,3,3.5,3.5,4,4,5,5,5,5,2,2,3,3,1,0,0,0,1.5,3,11,11
1bd,4.5,5,4.5,5,1,2,2,0,4,4,1,1,5.5,6,6,7,4,4,3,5,6,6,5,5,1.5,2,3,3,5,7,2,2,6,6,18,18
1bd,4.5,4,5,4,2.5,3,5,5,4,4,1,1,2,0,6,8,4,4,4,4,5,4,0,0,2,2,3,3,6,5,2,2,6,6,20,20
1bd,2.75,2.5,5,4.5,1.5,2,3,3,2,3,0.5,0,2,1,7,7,1.25,1,2,2,3,3,0.5,0,2,1.5,3,3,5,5,0,0,0,0,14,14
1bd,2.25,4,2.5,4,1.5,3,5.5,3,4,4,0,0,4,4,4,5,3.5,4,3.5,4,2.5,4,2,2,2,2,3,3,4.5,2,1,1,4.5,4.5,17,17
1bd,3.5,3.5,5,5,1,2,0,0,4,4,0,0,1.5,3,3,5,1,2,2,0,1.5,0,0,0,1.5,1.5,2,3,3,4,0,0,3,3,12,12
1bd,4.5,4.5,0.75,0,0,2,0.5,0,1.5,2.5,0,0,2,3,0,0,1,1,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,9,9
1bd,5,,4,3,1.5,3,2.5,0,4,4,1,1,3,0,2,6,3,4,4,5,3,3,2.5,4,2,2,1.5,3,5,4,0,0,6,6,12,12
1bd,3.5,3,1,2,1,1.5,0,0,2,2,0.5,0,0.5,0,0,0,0.25,0,0.25,0,0.25,0,0,0,1.5,1,1.5,3,0,1,0,0,0,0,9,9
1bd,0.5,3,0,0,0,1,0.5,0,1.5,1.5,1.5,1,2,3,0,0,0.5,1.5,0,0,0,0,0,0,1.25,1.5,1,0,0,0,0,0,0,0,8,8
1be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,7
1be,3.5,3.5,4,4,1.5,3,1,2,3,2,1,1,0.5,1.5,2,2,3,3,1.3,1,1,1,0,0,2,2,3,3,2,2,0,0,4.5,4.5,15,15
1be,5,5,4.5,4,3,1,2,1.5,4,3.5,0.5,1,6,3.5,5,5,3.5,3.5,2,4.5,6,5,1,1.5,2,2,2,2,3,2,0,0,1,1,16,16
1be,4.5,4.5,4.5,4,3,3,1.5,2,4,4,0.5,1,4,5,6,4,4,4,5,5,6,5,0,0,2,2,0,2,2,2,0,0,4.5,4.5,14,14
1be,4.5,4.75,4,3,1,2.5,1,4,3,3,1.5,1.5,2,3,3.5,4.5,2.5,2.5,1,1.5,2,3,0,0,2,2,3,3,3,3,0,0,6,5.5,18,18
1be,3.5,3.25,3,3,1.5,2,2,2.5,3,3,1.5,2,1,1.5,0,1,3.75,3,2,2,2,2.5,0,2,1,1,1.5,2.5,1,2,0,0,3,4,11,11
