Item,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,A6,B6,A7,B7,A8,B8,A9,B9,A10,B10,A11,B11,A12,B12,A13,B13,A14,B14,A15,B15,A16,B16,A17,B17,A18,B18
1df,4,4.5,5,5,3,3,7,7,4,4,0,0,4,4,6,5,4,4,3,5,5,4.5,5,4,2,2,1.5,2,6,5.5,0,0,6,6,17,17
1df,5,5,5,5,2,1.5,0,0,4,4,0.5,1,2,3,5,6,4,3,1,0.5,2.5,2,0,0,2,2,3,3,1,0.5,0,0,4.5,2,16,16
1df,5,5,3,5,3,3,0,0,4,2,0.5,1,1,3,4.5,4,4,4,3,2,4.5,4.5,1,1.5,2,2,1.5,2.5,4,3,0,0,4.5,5,15,15
1df,5,5,3,2.5,3,2.5,3,3,4,3.5,0.5,1,1,2,1.5,1.5,4,4,2,3.5,4,4,7,1.5,2,2,2,2,1,2,0,0,6,5.5,13,13
1df,5,5,5,5,1.5,1.5,3,3.5,3,2,0,0.5,2,2,4,3,4,4,0,0,3,2,4,2,1.5,2,2,2,0,2,3,1,,1.5,18,18
1dg,4,4,5,4,3,3,2,4,4,4,0.5,0,5,4,7,5,3,3,4,3,5,3,4,4,2,1,3,2,3,3,1,1,4.5,6,19,19
1dg,2,3.5,2,2.5,3,3,2,2,3,3,1,0,3,2,6,4,2,2,3,1,2,2,3,3,2,2,3,1.5,0,2,0,0,3,3,16,16
1dg,3.5,3.5,0,0,3,0,0,0,1.5,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1.5,0,0,0,0,0,0,14,14
1dg,3,3.5,2,2,3,0,0,0,3.5,2,0,0,2.5,0,2,0,3.5,4,4,2.5,4,2,0,0,1.5,1.5,3,0,0.5,0,0,0,0,0,13,13
1dg,5,5,2,2,3,3,3,3,3.5,3,0.5,0,3,2,7,5,4,4,5,5,6,4,0,0,1.5,1.5,3,3,3,2,0,0,1.5,0,17,17
1dg,1.5,1,0,0,5,3,0,0,0,0.5,1.5,0,0,0,0,0,1,1,0,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,10,10
1dg,4.5,4.5,5,4,3,2,0,0,4,4,0,1.5,4,2,1,0,4,4,5,4,6,5,4,5,2,2,3,3,1,3,0,0,4.5,4.5,12,12
1dg,5,4.5,5,5,3,3,6,7,4,4,1.5,1,1,2,8,8,4,4,4,2,6,5,5,5,2,2,3,3,1.5,2,2,2,6,6,18,17
1dg,4.5,5,4.5,5,3,2.5,3,2,4,4,1,1,3,2.5,5,4.5,1.5,1,4,2,3,3.5,3,0,2,2,3,2.5,3,2.5,0,0,6,6,19,19
1dg,5,5,5,2.5,3,2,6,3,3.5,4,0.5,0.5,3,2,4,4,3,3,2,0,2,0,0,0,2,2,0,0,0,0,0,0,2,3,13,13
1dg,5,5,5,5,3,3,6,7,5,4,1,1,6,4,7,7,4,4,5,2,2,3,3,2,2,1,3,2,2,3,2,2,6,6,19,18
1dg,1.5,1.5,5,4,2,3,1,0,3,4,1,1,4,2,7,4,1,1,3.5,0.5,0,0,0,0,2,2,3,3,3,3,0.5,0,6,6,13,13
1dg,4.5,4,4,4,3,3,0,0,4,3.5,1.5,1,3,2.5,5,5.5,4,4,5,2,4,3.5,1,0,2,1.5,3,1.5,1.5,2,0,0,0,0,17,18
1dg,5,5,5,2.5,2.5,1,6,3,3.5,3.5,1.5,0,5,2,7,5,4,4,4,0,3,3,3,2.5,2,2,3,3,6,3.5,0,0,6,6,16,16
1dg,3.5,3.5,0,0,2.5,1.5,0,0,2.5,3,0,0.5,0,0,0,0,2.5,2.5,1,0.5,1,0,0,0,1.5,1.5,3,1.5,0.5,0,0,0,0,0,17,17
1dg,5,5,5,5,3,2.5,7,7,4,4,1.5,0.5,6,6,6,6.5,3.5,4,5,5,6,5,5,5,2,2,3,3,7,7,2,2,6,4.5,20,20
1ef,4.5,4.5,5,3,2.5,2,5,2.5,3.5,3,0.5,1,2,2.5,2,4,0.5,0.75,3,3.5,4,1.5,2,2,2,2,3,2,2,1,0,0,5.5,4,12,12
1ef,0,0.5,1.5,1,2.5,3,5,3,4,3,1,1.5,1,0,2,3,0,0,3.5,3.5,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,11,11
1ef,3.5,3,1.5,0,3,3,5,4.5,4,4,1,1,2,2,5,5,1.5,1.5,4,4,4,2.5,0.5,0.5,2,1.5,2.5,3,4,2,0,0,5.5,4,13,13
1ef,4,5,4.5,4,3,2,0,0,3,2,0,0,2,3,5,5,1.5,1.5,2.5,3,3,4,0,0,2,1.5,2.5,1.5,4,3,0,0,0,0,11,11
1ef,4,3.5,4.5,3,2.5,2,0,0,4,3.5,2,1.5,0,0,4,4,0,0.5,2.5,2.5,3,2,1,0.5,2,2,2.5,2,2.5,2.5,0,0,5,5.5,14,14
1ef,5,5,5,5,3,2,4,3.5,4,3.5,1.5,1,5.5,5,5.5,5.5,4,4,4,3.5,4.5,4.5,2,1.5,2,1.5,2,1.5,3,3,0,0,4,3,20,20
1ef,5,5,5,4.5,2.5,3,7,7,4,3.5,1,1,2,1.5,8,6,4,4,5,5,6,4,5,5,2,2,3,3,3,2.5,2,2,6,6,19,19
1ef,4,4,4,2.5,2,2,4,2.5,2.5,2,0,1,3.5,2,0,1.5,2.5,2.5,4,4.5,1,1.5,1.5,0,2,2,0,1.5,2,2,0.5,0,6,6,17,17
1ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ef,5,5,5,5,3,3,2,2,4,2.5,1.5,1,3,3.5,3,5,4,4,3,3.5,3,2,2,0.5,2,2,3,3,3,1.5,2,2,5.5,5,15,15
1ef,5,5,5,5,3,3,5,4,4,2.5,1,1,3,1.5,5.5,4,4,3.5,1,2,3.5,3.5,0,0,2,2,2.5,3,0,0,0,0,5,5,18,18
1ef,3.5,3.25,0,0.5,0,0,0,0,3,2,0.5,1,0,0,0,0,1.5,1,2,2,1,1,0,0,1,1,1,1.5,2,0,0,0,2,1,11,11
1ef,0,0.25,0,0,0.5,1,1,1,3,2,1.5,2,4,1,0,1,2,2.5,0.5,1.5,1,0,0,0,2,2,2,1.5,3,2.5,0,0,0,0,10,10
1ef,2.5,2,5,3,0,0,1,1,2,1.5,0.5,1,0,0,1,2.5,1.5,1.5,2,3,1,1.5,2,2,1.5,1.5,3,3,1,1.5,0,0,4,4,12,12
1ef,4.5,4.5,5,5,1.5,2,3,3,4,3.5,1,0.5,4.5,4.5,6,6,4,4,3,3.5,4.5,4.5,4,4,2,2,2.5,2,2.5,2.5,1,0,4.5,5.5,18,18
1ef,5,5,4,4,1.5,2,0,0.5,3,2,0.5,0.5,1.5,1,1,1,3.5,3.5,0,0,0,0,0,0,1,1,2.5,0.5,0,0,0,0,0,0,13,13
1eg,1.5,1.25,0,0,3,3,3,2.5,3.5,2,1,1,4.5,2,2.5,3,1,0.75,3,2.5,4,2,2,1.5,1.5,1.25,2,2,0.5,0,0,0,4.5,4,12,12
1eg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1eg,5,5,4,5,2.5,2.5,0,1.5,4,3,0.5,1,4,4,6,5,4,3.5,4,3.5,5,4.5,2.5,1,2,2,3,2,2,3,0,0,5.5,4.5,18,18
1eg,4.5,4.25,2.5,3.5,2.5,1.5,1,1.5,4,3,0.5,1,4,1.5,5,3,4,3,3,3.5,5.5,3,2.5,0,2,1.5,3,1.5,2,2,0,0,5.5,4,18,15
1eg,5,5,4,4,3,1,1,1,3.5,3,1.5,2,4,3,6,4,4,3.25,3,2.5,4,1.5,3.5,1,2,2,3,2,2,2.5,0,0,6,4.5,14,14
1eg,5,5,5,5,3,3,3,2,3.5,3.5,0,0,3,2,3,3.5,2.5,2.25,5,2.5,2,2.5,0,0,2,2,3,1.5,4,2,0,0,1.5,1.5,17,17
1eg,2,1,0,0,0,0,0,0,2,0.5,0,0,0,0,4,4,0,0,3,2.5,0,0.5,1.5,0,0,0.5,0,0,0,0,0,0,0,0,10,10
1eg,4,5,5,5,2,1,3,2.5,3.5,3,0.5,1,3,2,6,3,3.5,3,4,5,4.5,4.5,3,1.5,1.5,2,3,3,2,1,2,2,0,5,18,18
1eg,5,5,5,5,2.5,2,4.5,2.5,4,4,1.5,1.5,2,0,7,5,4,4,5,4,5,4,4.5,4,2,2,3,2,3,2.5,2,2,4,5,19,19
1eg,5,5,5,5,3,3,5,2,4,4,1,1.5,2,1,5,6.5,4,4,5,3.5,3.5,4,3.5,3,2,2,3,3,7,5.5,2,2,4.5,4,19,19
1eg,5,5,5,4.5,2.5,2,2,2,2.5,3,0,0,0,0,8,4,4,3.5,4,4.5,5,5,0,0,1.5,1.5,3,1.5,1.5,2,2,2,3,3.5,15,15
1eg,4.5,4.25,4,3.5,2.5,3,4.5,3,3,2,1,2,0,0.5,3,3,4,4,4,2.5,5,3.5,0,0,2,1.5,3,1.5,0,2.5,0,0,4.5,4,14,14
1eg,4,3.75,5,2.5,1,0.5,2,1.5,3.5,2.5,1,1,4,2,6,4,0,0,4,2,0,0,0,0,1.5,1.5,3,2,2,1,0,0,4.5,4,16,16
1eg,3,2.5,1.5,1,3,2,4,2,2,1.5,1,1,0,0,5,4,0.5,0.5,5,3.5,2,2.5,2,1,1.5,1.5,2,1.5,2,2,0,0,1,1,15,15
1eg,5,5,4,5,2.5,3,2,2,3,2,0,1,5,3,6,3,4,4,4,3,2.5,2,2,1,2,2,3,3,2.5,1,0,0,4,5,17,17
1eg,5,5,5,5,2.5,2,3,2,4,3,0.5,1,6,4.5,7,4,4,4,5,3,6,5,5,3,2,2,3,1.5,7,7,0,0,4,5,20,20
1fg,4.5,4.5,4,3.5,3,3,4,3.5,3.5,3.5,1,1,4,1,6,5.5,3,6,3,3,3.5,4,3,2.5,1.5,1.5,3,3,2,0.5,0,0,3,3,17,17
1fg,4.5,4.5,5,4.5,3,3,5,5,3,3,0.5,0.5,4.5,4,5,5,1.5,1,2.5,2,2,1.5,1,0.5,1.5,1.5,3,2,2,1.5,0,0,5,5,15,15
1fg,5,5,5,4.5,2.5,3,0,5,3,3,0.5,0.5,0,4,5,1,3.5,3,4,4,4,4,1.5,0.5,1.5,1.5,3,2.5,0,0,0,0,2,2,11,11
1fg,4.5,5,5,4.5,2.5,2.5,3,3,3.5,4,0.5,1.5,3,1.5,7,5,4,3.5,4,4,5,4,1,0,2,2,3,2.5,3,1.5,1,1,4,3,17,17
1fg,4,5,5,5,3,3,4,3,3,3.5,0,0,4,2,6,5,4,4,4,3.5,4,4,5,3.5,2,2,3,2.5,1,2,0,0,3,6,13,13
1fg,5,5,5,5,3,3,7,6,4,4,0.5,0.5,3,1.5,7,6,4,4,2,2,3,3,5,7,1.5,1.5,0,0,0,0.5,0,0,4.5,4.5,19,19
1fg,5,5,5,5,1.5,1.5,6,6,4,4,0,0.5,4,3,7,6,4,4,4,3,4,4.5,3,4.5,2,2,3,2,3,5.5,2,2,5,2.5,16,16
1fg,3.5,5,4,4.5,2,3,1,1,3,3.5,1.5,1.5,5,4,5,4,1.5,1.5,3,3,4,3,0,0,1,1,3,3,2,2,0,0,1.5,1.5,16,16
1fg,0,0,0,0,1,2.5,2,0,2,2,0,0,0,0,5,2,3,3,5,3,4,5,4,2.5,1.5,1.5,3,2,0,0,0,0,4.5,3,14,14
1fg,5,5,5,5,3,3,0,1,4,4,0,0.5,4,3,7,5,4,4,4.5,4,4,3.5,0,0,2,2,3,3,2,3,2,2,4.5,6,16,16
1fg,5,5,5,5,3,3,1,2.5,4,3.5,1,1,6,2,6,4,2,2,4,1,3,3,2,0,2,2,3,2,0,0,0.5,0.5,5.5,6,13,13
1fg,5,5,4,3.5,3,1.5,7,5.5,3,4,1,1,4,1.5,7,5,3,4,4,4,3,5,0,0,2,2,3,3,1,2.5,2,2,6,6,16,17
1fg,0,0,0,0,2,2,1,5,1,0,0.5,0,0,0,3,2.5,0,0,0,0,0,0,0,0,0.5,1,2,1,0,0,0,0,0,0,6,6
1fg,5,5,4,4,3,2.5,3,5,2,4,0,0,4,2.5,7,7,4,4,5,2.5,5,4.5,5,4,2,2,3,2.5,3,2,0,0,6,6,13,13
1fg,3,4,3,2.5,3,1.5,1,3.5,2.5,2,1,1,4,3.5,6,5.5,4,4,5,2.5,4,4,2.5,1,1.5,1.5,3,2.5,3,3,0,0,2,1,15,14
1fg,4.5,5,5,4.5,2.5,2.5,2,1,4,4,1.5,1,4,3.5,5,4.5,3,3,4,2,2,2,0,0,2,2,3,2.5,1,1,0,0,6,5,9,10
2ab,4,4,3,3,3,3,5,4,4,4,1,1,5,5,1,1,3,3,4,3,0.5,0.5,0,0,2,2,1,1,1,1,1,1,6,6,17,17
2ab,4.5,4,4,4,3,3,6,4,4,4,2,2,5,5,6,6,4,4,4,4,5,5,5,5,2,2,3,3,6,6,2,2,6,6,20,20
2ab,5,5,4,4,2,2,1,1,3,3,1,1,4,4,6,6,3.5,3.5,5,5,5,5,0,0,2,2,3,3,5,5,0,0,5,5,19,19
2ab,5,5,2,2,1,1,1,1,3,3,2,2,4,4,2,2,3,3,3,3,4,4,0,0,1,1,1,1,4,4,0,0,0,0,17,17
2ab,5,5,4,3,3,3,5,5,4,3,0,0,4,4,6,4,4,4,4,1,4,3,5,5,2,2,3,3,5,3,2,2,6,6,18,18
2ab,2,2,3.5,1,3,3,4,2,3,2,2,2,4,4,3,3,4,1,5,2,4,2,3,3,1,1,3,3,5,2,0,0,5,3,13,13
2ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
2ab,5,5,4,4,3,3,6,4,4,2,0,0,5,5,5.5,4,4,2,5,3,5,3,5,5,2,2,3,3,4,2,2,2,6,6,19,19
2ab,3,3,1,1,1,1,0,0,3,3,1,1,1,1,0,0,3,3,3,3,1,1,0,0,2,2,1,1,1,1,0,0,6,6,11,11
2ab,5,5,3,3,2,2,2,2,3,3,2,2,2,2,4,4,4,4,5,5,5,5,4,4,2,2,3,3,4,4,0,0,6,6,13,13
2ab,5,5,3.5,3.5,3,3,2,2,2,2,1,1,4,4,5,5,3,3,3,3,4,4,0,0,2,2,2,2,4,4,2,2,6,6,17,17
2ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ab,5,5,3,3,3,3,6,6,3,3,2,2,4,4,5,5,4,4,4.5,4.5,4,4,3.5,3.5,2,2,3,3,5,5,0,0,6,6,19,19
2ab,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,6,6
2ab,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,12,12
2ab,4,4,3,3,3,3,0,0,1,1,0,0,0,0,1,1,0.5,0.5,1,1,1,1,0,0,2,2,0.5,0.5,1,1,0,0,0,0,10,10
2ac,3,2,4.5,4,3,3,1.5,2,3.5,3,0,1,2,3,5,5,4,4,3,4,2,1,0,0,2,3,1.5,2,6,5,0,0,6,6,13,13
2ac,5,5,4.5,4,3,3,7,6,3.5,4,1,2,3,1,5,6,4,4,4,2,5.5,6,5,4,2,2,1.5,2,5,4,2,3,6,5,19,19
2ac,4,3,1,2,2.5,3,1,2,3.5,3,1.75,2,3,2,8,7,4,3,2,3,3,3,2,3,"2 (1,5)",2,2,2,3,2,0.5,1,1.5,2,13,13
2ac,4,4,4,4,3,3,0,0,3.5,3,0,0,2,3,6,5,0.5,1,4,4,2.5,2,3,3,"1,5 (2)",1,1.5,2,1,1,0,0,0,0,15,15
2ac,5,4,5,4,3,2,3,2,3.5,4,0,1,3,2,6.5,7,4,4,4,3,6,5,3,4,2,2,1.5,2,2,3,0,0,3.75,3,15,15
2ac,3.5,2.5,3.5,1,3,3,0,0,3.5,3,1,2,3,4,3.5,4,3,2,3,4,1.5,3,3,3,2,1,1.5,2,2,3,2,1,4.5,3,11,11
2ac,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2ac,4,4,4,5,3,3,4,5,3,2,0.5,1,0,0,7,6,4,4,4,4,4.5,4,5,4,2,2,1.5,2,4,5,2,2,6,6,17,17
2ac,5,4,5,4,3,3,1.5,3,3,3,0.5,1,1,3,8,6,4,4,5,4,2.5,2,0,0,2,2,3,3,3,4,0,0,6,5,17,17
2ac,4.5,5,3.5,4,3,3,5,5,4,4,0,1,1,3,5,4,4,4,4,4,3.5,4,2,3,"2 (1,5)",2,1.75,2,7,6,0.5,1,6,5,19,19
2ac,1.5,1,0,0,1,0,0,0,2.5,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1.5,1,4,4,0,0,1.5,1,8,8
2ac,0,0,0,0,2,1,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2ac,2.75,3,5,4,0.5,2,3,4,4,3,0,0,1.5,2,3.5,4,4,3,1,2,5.5,5,3.5,4,2,2,1.5,2,3,3,0,1,6,5,13,13
2ac,5,4,4,4,0,0,0,0,1.5,1,0,1,0,0,2,1,3,3,1,0,1,1,0,1,2,1,1.5,1,0,0,0,0,3.5,4,13,13
2ac,2,3,2,3,1,1,1.5,1,0 (3),0,0.5,1,0.5,1,5,4,3.5,3.5,3,3,3.5,2,0,0,1,1,0,0,3,2,0.5,1,0,0,17,17
2ac,3,2,5,3,3,4,5,4,3,4,0.5,1,2,3,6,5,2,3,2,3,4,4,5,4,2,2,3,3,3,4,0,1,2.5,3,18,18
2ad,2,1,3.5,2,2,2,4.5,2,3,4,2,1,2,1.5,4,6,0.5,1,4,4,4,4,0,0,2,2,3,1.5,2,3,0,1,4.5,4.5,12,12
2ad,4,3.5,3,4,2,2.5,3,2,4,2.5,1,1,5,3,3,3,3,3,3,1,0,0,0,1,2,2,3,3,2,1.5,0,0,0,0,14,14
2ad,3,4.5,2,3.5,2,3,5,3,2,4,1,2,3,2,3,5.5,1,1.5,3,4,2,2,2,0,2,2,2,1.5,2,1,1,0.5,5,5.5,16,16
2ad,5,5,4,3.5,1.5,1.5,2,0,2,2,1,1,0,0,0,0,3,4,3,5,1,1,1,3,2,2,3,1.5,2,2,0,0,0,2,14,14
2ad,5,4,2,4,1.5,1,0,0,4,2,0,0,0,0,0,0,3,3.5,3,3,3,1.5,0,0,2,0,3,1.5,3,2,0,0,5,4,15,15
2ad,4,5,3,5,3,2.5,0,0,1,1,1,1,0,0,3,6,2,2,4,5,2,2,2,2.5,2,2,3,1.5,0,0,0,0,0,0,13,13
2ad,1,0,0,0,1.5,0,0,0,0,2,2,1,2,1,0,0,0,1,4,1,0,0.5,0,0,0.5,0,1.5,1.5,3,0,0,0,0,3,8,8
2ad,5,5,4,5,3,3,4,3,2.5,2,0,0,0,0,5,6,3,4,4,3,3,2,5,3.5,2,2,3,1.5,3,3,2,2,3,5,13,13
2ad,5,5,4.5,5,3,3,6,3.5,3,3.5,0,0,6,2,6,8,4,4,5,4.5,5,5,4,3.5,2,2,2.5,1.5,4,5,2,2,6,5.5,20,20
2ad,4,5,3,2,1.5,0,4,1.5,0,3,1,0.5,2,2,0,2,2,2,2,2.5,3,1.5,0,0,1.5,2,2,2.5,4,3,0,0,5,5.5,12,12
2ad,5,2.5,2,0,2,0,0,0,2,3.5,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,2,1.5,0.5,0,2,0,0,0,0,0,9,9
2ad,5,5,4,4,3,2,2,3,2,3.5,2,1.5,4,1.5,4,6,4,4,3,3,4,4.5,0,0,2,2,3,2,4,3,0,0,0,4.5,17,17
2ad,5,4.5,4,5,3,3,0,0,3,3,2,1.5,4,2,5,6,1,1,5,2,0,0,0,0,2,2,3,1.5,2,2.5,0,0,0,1.5,14,14
2ad,4,4,4,3.5,2,2.5,0,1.5,2,1.5,0,0,0,0,0,0,2,3.5,1,1,2,0,0,0,2,2,3,0,0,0,0,0,0,0,13,13
2ad,4,3,4,4.5,3,3,6,5.5,4,3.5,0.5,0.5,5,5.5,7,6,4,4,5,2.5,5,2.5,4,2,2,2,2,3,4,5,0,0,5,4.5,19,19
2ad,2,4,3,3,2,1.5,3,4,2,1.5,0,0,2,0,2,4,4,3,0,0,3,4,2,1,2,2,1,1,2,3,0,0,2,1.5,18,18
2ae,1,0.5,1,1.5,1,1,1,1.5,2,2,2,1,0,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0,1.5,0,1,0,0,0,1,10,10
2ae,5,4.5,4,4,3,2.5,5,6,2,3.5,2,2,5,4,6,5,4,3.5,2,2,4,5,4,5,2,1.5,2,2,5,6,0,2,6,6,20,20
2ae,5,5,3,4,2,3,0,2,2,3,2,1,3,2.5,3,4,1,2,5,3,2,2,0,0,2,2,1,1.5,4,5,0,0,0,0,19,19
2ae,5,5,4,4,3,3,5,5,0,1.5,2,0,1,0.5,0,0,4,4,2,1,1,2,0,0,2,1.5,2,1.5,1,1,2,2,4,4,14,14
2ae,5,5,3,4.5,2,2.5,4,5,4,4,1,0,2,1,3,2.5,4,4,5,4,3,3,4,5,2,2,3,1.5,3,3.5,2,1,6,6,16,16
2ae,5,5,4,5,3,3,0,0,3,3.5,2,0,1,1,4,6,4,4,4,3.5,3,4,2,4,2,2,2,1.5,3,3,0,0,1,1.5,18,18
2ae,1,2,1,3,2,3,0,0,2,3,0,0,1,2,0,0,2,3,2,3,2,2,1,2,2,2,2,2,0,0,0,0,2,3,15,15
2ae,5,5,3,2,3,3,2,1,2,3,2,0,3,2,2,5,3,3.5,5,4,4,3,3,4,2,2,2,3,2,3,1,0.5,3,1.5,15,15
2ae,5,5,4,4,2,3,5,5,1,3,1,0,4,4,5,4,4,4,5,5,4,4,4,4,2,1.5,3,1.5,5,4,2,2,6,6,20,20
2ae,4,4,1,3,1,2.5,0,0,0,1.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1.5,0,0,0,0,0,0,15,14
2ae,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1.5,0,1.5,0,0,0,1,15,15
2ae,5,5,4,5,3,3,2,1,4,3.5,2,0,2,3,4,6,4,4,4,4,3,3,0,0,2,2,2,3,2,2,0,0,3,3,17,17
2ae,3,3.5,3,4,2,2,0,0,3,2.5,1,0,3,2,5,5,3,2.5,2,3,3,4,0,0,2,2,2,1.5,4,4,0,0,0,1.5,16,16
2ae,5,3.5,2,4,0,0,2,2,1,1,1,0,2,3,2,1,0,1,2,1,0,0,0,0,2,2,2,1.5,4,5,0,0,0,0,11,11
2ae,,4,,3,,1,,0,"",3.5,,0,,0.5,,5.5,,4,,4,,4,,0,"",4,,1.5,"",2,,1,,0,,14
2ae,,4.5,,4.5,,1,,0,"",4,,0,,1,,6,,0,,2.5,,1.5,,0,"",2,,1.5,"",3,,0,,1.5,,9
2af,5,5,4,5,3,3,5,6,2.5,2,2,1,2,3,6,6,4,4,5,4,4,6,4,5,2,2,3,3,6,6,0,1,4.5,5,17,17
2af,5,4,4,3,3,2,5,4,4,3,2,1,5,4,5,3,4,2,2,2,3,3,3,3,1,0.5,1,2,1,2,2,2,6,6,18,18
