Item,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,A6,B6,A7,B7,A8,B8,A9,B9,A10,B10,A11,B11,A12,B12,A13,B13,A14,B14,A15,B15,A16,B16,A17,B17,A18,B18
2ce,4.5,4.5,4,4,3,3,2,1,3.5,4,0,0,2,1,4,0,0,0,2,2,4,1,0,0,1.5,1.5,2,3,0,1,0,0,2,1.5,9,9
2ce,2.5,2.5,4.5,3.5,2,2,2,1,2,1.75,0,0,0,0,3,2.5,2,2,4,4,0,0,0,0,1,1.5,1.5,3,3,2,0,0,2,2.5,12,12
2ce,5,5,5,4.5,2.5,3,6,7,3.5,3.5,1,0.5,5,6,7,7,4,4,5,4,6,6,5,5,2,2,2.5,3,6,7,2,2,6,6,19,19
2ce,5,5,5,5,2.5,3,3,3,4,4,2,2,5,4,6,5,4,4,4,3,3,2.5,2,1,2,2,3,3,2,3,0,0,4.5,3.75,15,15
2cf,5,5,4,5,2,2,4,6,3,3.5,1,1,4,5,6,7,4,4,2,4,4,3.5,2,3,2,2,3,3,5,4,0,0.5,6,6,19,19
2cf,5,5,4,4,2,3,7,5,3,2,1.5,1.5,4,3,6,4,4,4,4,4,4,4.5,1,1.5,2,2,3,3,4,4,0,0,6,6,18,18
2cf,5,4.5,5,5,3,3,0,0.5,2,0,1,0.5,2,1.5,3,5,4,4,3,1,2,0,0,0,2,2,3,1.5,0,0.5,0,0,0,0,17,17
2cf,5,5,4,4,1.5,2,6,7,2,4,0,0.5,3,2.5,5,7.5,4,4,4,3,5,2.5,4,4,2,2,3,1.5,2,3,0,0,2,1.5,16,16
2cf,4,4.5,4.5,4.5,3,3,3,3,3.5,4,0,0,4,3,5,6,4,4,4,4,5,4.5,4,4.5,2,2,3,1.5,6,6,0,0,6,6,17,17
2cf,5,5,4,4,3,3,0,1.5,4,3.5,0,0,0,0,2,2,4,4,2,2,3,2,0,0.5,1,2,0,0,2,3,0,0,4.5,4.5,15,16
2cf,5,5,5,5,3,3,2,3,4,3.5,1.5,1,4,1.5,6,5,4,4,3,3,5,3,0,1,2,2,3,1.5,6,7,2,2,6,6,17,17
2cf,2,2.5,5,4,2.5,3,1,2,3,3.5,0,0,2,0.5,5,4,4,4,4,2,5,3,4,4.5,2,2,3,1.5,2,2.5,0,0,1.5,1.5,14,14
2cf,4,4,3,3.5,0,0,0,0,3,4,0,0.5,0,0,0,0,1.5,1.5,2,1,2,2,0,0,1.5,1.5,3,1.5,1,1,0,0,0,0,10,10
2cf,5,4,4.5,4,2,2,0,0,4,3.5,1,1,0,0,5,5,4,4,5,3,4,2,4,5,2,2,3,1.5,2,1,0,0,0,0,15,14
2cf,5,5,4.5,5,1.5,2,4,6,3,3,2,1.5,0,0,5,3,1.5,1.5,1,0,2,2,0,0,1.5,1.5,0,1.5,1,2.5,0,0,6,6,17,17
2cf,5,5,4,3.5,1.5,3,0,0,3.5,4,1,0,1,0,5,5,4,4,4,4,5,3.5,0,1.5,2,2,3,2.5,1,1,0,0,4.5,4.5,14,14
2cf,4.5,4.5,5,3.5,3,3,0,2,3.5,3.5,1,1,4,1.5,6,6,4,4,4,2,5,4,3,3.5,2,2,3,3,1,3,1,1,4.5,6,14,14
2cf,4,4,4,4,1,3,0,0,0,0,0,0,0,0,5,5,2.5,2.5,2,1,4,2.5,0,0,2,2,3,1.5,1,2,0,0,6,6,15,14
2cf,3.5,3.5,4,5,3,3,4,7,3.5,3.5,0,0.5,4,2,6,8,0,0,1,1,0,0.5,0,0,2,2,3,3,1,2,0,0,6,6,19,19
2cf,4,3,4,3.5,1,3,0,1,0,1.5,0,0,1,0,0,1,1.5,1.5,4,3,3,0.5,0,0,0.5,0.5,0,1.5,0,1,0,0,0,0,8,8
2cg,5,5,5,5,3,3,7,6,3,3.5,2,1,5,3,5,6,4,4,4,2,5,4.5,4,4,1.5,1.5,1.5,1.5,4,2,0,0,6,6,18,18
2cg,3,4,3,3.5,3,3,4,4,3,3.5,0,0,4,4,5,6,4,4,5,4,5,4,4,4,1.5,1.5,1.5,1.5,4,3,2,2,1.5,1.5,18,18
2cg,5,5,4,4,3,3,3,3,3,4,1,1,2,1,5,3,4,4,4,3,4,4,3,2.5,2,2,1.5,1.5,4,5,,0,6,6,12,12
2cg,4.5,4.5,5,5,3,3,5,6,4,4,1,0.5,4,2,6,7,4,4,5,4,4,3.5,5,5,2,2,3,3,5,4,0,0,6,6,18,18
2cg,4.5,4.5,5,5,3,3,3,3,3,3.5,0,0,2,1.5,3,5,2,2,3,3,2,2.5,0,0,2,2,1.5,1.5,0.5,1,,0,4.5,4.5,15,15
2cg,3,3.5,3.5,3.5,3,2,2,2,3.5,3.5,0,0,0,1.5,1,1,2,2,1,1,4,3,3,4.5,2,2,1.5,1.5,4,4,0,0.5,4.5,4.5,16,16
2cg,1.5,0.5,1,1,3,3,1,1,3,3.5,1,0.5,,0,2,3,2.5,1.5,1,1,1,1.5,,0,1.5,1.5,0,1.5,2,2,0,0,0,0,9,9
2cg,5,5,5,5,3,3,0,1,3.5,3.5,1,1,0,1.5,2,2,,0,,0,,0,,0,2,2,1.5,1.5,"",0,0,0.5,0,0,16,16
2cg,5,5,5,5,3,2,4,4,3,3,1,0.5,1,1,6,7,4,4,4,2,4,2.5,2,3.5,2,2,1.5,1.5,0,2,2,2,6,6,17,17
2cg,3.5,3.5,4,3,3,3,2,2,2.5,3,0,0,3,1.5,3,5,3.5,3,2,1,,0,,0,0.5,1,1.5,1.5,0,1,1,2,6,6,18,18
2cg,4.5,3,4,4.5,3,3,2,2,2.5,2.5,0,0,3,5,4,6,3,2.5,4,2,4,3,,0,2,2,3,3,4,3,1,1,6,6,18,18
2cg,5,5,3,4,2,2,2,2,3.5,3.5,1,0.5,4,2.5,2,3,4,4,4,4,2,1.5,3,4,2,2,3,3,1,2,1,1,6,6,15,15
2cg,5,5,4,5,3,3,0,1,2.5,3,0,0,2,1.5,6,7,3,3,5,5,5,4,1,2.5,2,2,1.5,1.5,6,7,2,2,3,3,18,18
2cg,5,5,4,5,3,3,3,1,3,3.5,0,0,4,2,6,8,3.5,3.5,5,3,4,2.5,0,0.5,3,2,3,3,4,5,2,2,6,6,14,14
2cg,4.5,4.5,4,5,3,2.5,,0,3,3,0,0,6,5,2,3,4,4,5,4,3,3,,0,2,2,3,3,"",0,,0,6,6,18,18
2cg,3.5,3.5,3,4,3,3,3,4,3.5,3.5,1,0.5,5,4.5,7,8,4,4,4,4,6,5.5,2,2,1.5,1.5,3,3,5,6,2,2,4.5,4.5,20,20
2de,1.5,1.5,0,0,0,0,0,0,0.5,1.5,0,0,0,0,2,0.5,0,0,1,1,0,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,7,7
2de,1,1,2,2,3,3,1,0,0,0.5,1,0.5,1,0,0,0,0,0,1,1,0,1,0,0,0.5,0.5,1.5,1.5,1.5,2,0,0,0,0,8,8
2de,4.5,4.5,5,5,2,1,4.5,5,4,3.5,1,0,2,2,5,4,4,4,3,2,2.5,3.5,2,3,2,2,2.5,1.5,1,1,0,0,3.5,3,19,19
2de,4.5,4.5,4,4,1,1.5,2,2,1.5,4,0,0,1,2,6,5,3.5,3.5,4.5,4,3.5,3,3,4,0.5,0.5,3,3,3,5,0,0,5.5,5.5,17,17
2de,3.5,3.5,1,0,2,2.5,0,0,2,2,0,0,5,4,8,8,4,4,3,5,4.5,6,1.5,3,1.5,1.5,1.5,1.5,4,4,1.5,1.5,5.5,6,14,14
2de,5,5,4.5,5,1.5,2,0,0,3.5,3.5,0,0,4,4,6,5,3.5,3.5,4,5,3,5,2,4.5,1.5,1.5,2.5,1.5,1,2,0,0,4,4.5,17,17
2de,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,1,0,2,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,6,6
2de,5,5,3.5,3.5,2.5,2.5,0.5,1,3.5,2,0,0,0,0,6,6,3,3.5,2.5,5,3,4.5,0,0,2,2,3,3,1,0,0,0,3.5,3,15,15
2de,4.5,4.5,3.5,3.5,2.5,2.5,0.5,0,3.5,3.5,1,2,0,0,4,5,0,0,0.5,1.5,0,1.5,0,0,2,2,3,3,3.5,3.5,0,0,2,1.5,5,5
2de,5,5,4.5,5,2.5,2.5,5.5,2,4,3,0,0,2,2.5,6,3,4,4,4,3.5,5.5,3,5,3.5,2,2,2.5,1.5,3,2,2,2,3,5,14,14
2de,4,4,4,4.5,3,3,0,0,3.5,3.5,0,0,1.5,4,7,5,2,4,0,1,0.5,2.5,0,0,1.5,1.5,2.5,1.5,2,1,0,0,2,2.5,18,18
2de,4,4,3,3.5,3,3,0.5,1.5,2.5,4,0,0,0,0,4,2,2.5,2.5,2,2,4,3.5,1,0,1.5,1,1.5,1.5,0,0.5,0,0,5,4.5,13,13
2de,5,5,3.5,4,1.5,2,0,1,2,2,0,0,1,1,3,3,0,0,1.5,1.5,0.5,1,0,0,0,0.5,3,1.5,2.5,3,0,0,4.5,4.5,12,12
2de,5,5,3,4,3,3,1,1,4,4,1,0,4.5,2,6,5,4,4,4,5,2.5,3.5,0,1,2,2,2.5,1.5,2.5,2,0,0,0,0,16,16
2de,4.5,4.5,4,4,3,3,0.5,2,4,3.5,0,0,1.5,3,8,5.5,4,4,2,2,2.5,2,0,0,2,2,2.5,1.5,5.5,2,0,1,4,4,16,16
2de,3,3,3.5,3,0,0.5,0,1.5,2.5,3,0,0,2,2.5,0,0,3,3,2,3.5,0.5,0.5,0,0,2,2,1.5,2,0,0,0,0,0,0,15,15
2df,4.5,5,4,5,3,3,6.5,5,3.5,2,1,1,5,5,6,6,3,2.5,2.5,1,3,3,2,3,2,2,2.5,3,3.5,3,0,0,5.5,6,17,17
2df,5,5,5,4.5,2.5,3,5,5,2.5,3,1,1,5.5,5,5,4,4,3.5,5,3,4.5,4,4,3,2,2,2.5,3,2,2,2,2,5,6,19,19
2df,5,5,5,4.5,3,3,2,0,4,4,1,1.5,4.5,4,7.5,6,4,4,4,3,6,6,2.5,2,2,2,3,3,2.5,1,0,0,4,4.5,18,18
2df,3,4,1,1,1,1,0.5,0,4,3.5,0,0,0,0,2,5,1.5,1,3,2,4,3,3,5,2,1.5,3,3,2,2,0,0,3,3,15,15
2df,5,5,3,3,3,3,0,0,4,4,0.5,0,3,3,6,5,3,4,2,2,3.5,4,2.5,3,2,2,3,3,2.5,1,0,0,5,6,17,17
2df,2.5,2.5,0,0,0.5,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,2,2,3,2,0.5,0,0,0,0,0,12,12
2df,5,5,3,3,2.5,3,2,0,3,2,1,0.5,2.5,2,6,4,2.5,2.5,2,2,1.5,2,0,0,2,2,1.5,1.5,0.5,1,1.5,2,5,6,15,15
2df,4.5,5,4.5,5,0,1.5,0,0,2.5,2,1,0,2,2,0,0,3,3.5,2,1,0,0,0,0,2,1.5,1.5,1.5,0.5,1,0,0,2,4.5,10,10
2df,5,5,5,5,3,3,5,2,4,3.5,1,1,2.5,2,7,6,3.5,3.5,2,2,4,4,0,0,2,1.5,3,3,6,5,1.5,2,5.5,6,18,18
2df,5,5,5,5,2.5,3,4,1,4,4,1,1,1.5,2,6,5,4,4,4,3,3,3,4.5,5,2,2,2.5,2,2.5,2,2,2,4,6,19,19
2df,4,2.5,1,1.5,1.5,1.5,1.5,1,2.5,3,1,0,3.5,4,6,5,2.5,2,0,1,2,3,2,2,0,1,1.5,2,4.5,2,0,0,2.5,4.5,14,14
2df,0.5,0,0,0,1.5,1.5,0,0,2,2,1,1,0,0,3,2,1.5,1.5,1,2,1.5,1,0,0,1.5,2,0.5,1,1,1,0,0,0,0,8,8
2df,4,4,3.5,4,0.5,1,0,0,2,2.5,1,0,1,2,4,6,3,3,2,2,2.5,5,0,0,1.5,2,2.5,3,2,2,0,0,4,4.5,14,14
2df,4,4,4,5,2.5,3,0.5,0,4,4,0,0,1.5,3,6.5,5,1,0.5,3.5,3,1,3,0,0,1.5,1.5,0,1.5,2.5,3,0,0,0,0,13,13
2df,5,5,4.5,4,2,1.5,0.5,0,4,4,0,0,6,6,4.5,5,3.5,3.5,1.5,1,3,5,4.5,5,2,2,2.5,3,3.5,4,0,0,0.5,3,11,11
2df,5,5,5,5,2.5,3,4.5,2,4,4,1.5,1,6,5,6,5,4,4,3.5,3,3,6,1,1,2,2,3,3,2.5,2,0,0,5.5,6,18,18
2dg,5,5,3,3.5,3,3,0,2,3.5,4,1,1,3,1.5,3,2.5,3.5,3.5,3,3,1,1,0,0,1,1,0,0,3,3.5,0,0,6,4,11,11
2dg,4,3.5,3,2,3,3,6,6.5,3.5,4,1,1,3,3,6,4,2,1.5,4,5,4,5,1,2,1.5,2,3,3,2,1,2,1.5,6,5,14,14
2dg,4,4,5,5,2,1.5,1,1,3,3.5,0,0,2,0,3,6,4,4,4,4,5,5,3,2,2,2,3,3,4,3.5,0,0,4.5,4,14,14
2dg,5,5,5,5,2.5,1.5,2,2.5,3,3.5,1,1,2,2.5,5,6,4,3.5,5,4,3,3,2,2,1.5,1.5,3,2.5,3,2.5,0,0,,0,13,13
2dg,4,4.5,5,5,3,2.5,5,5.5,3.5,4,0,0.5,6,5.5,1,1.5,3.5,3,5,5,5,4,5,3.5,2,2,2,3,4,5,0,0,4.5,3,17,17
2dg,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
2dg,4,4,4,4,3,2.5,1,0.5,3,3.5,1,0.5,4,4,5,6,4,4,5,4,2,3,,0,2,2,3,3,4,6,0,0,6,5.5,15,15
2dg,5,5,5,5,3,3,2,3,3.5,3.5,1,0.5,5,3,4,6,4,2,4,2.5,2,3,3,4,1.5,2,3,3,2,2,1,0.5,6,4,11,11
2dg,5,4.5,5,5,2,3,2,2,3.5,4,1,2,2,4,3,6,4,4,5,4.5,3,5,3,4,2,2,1.5,2.5,0,1.5,2,1.5,6,4.5,16,
2dg,4.5,5,5,5,3,3,5,4.5,3.5,3.5,1,0.5,0,0,5,5.5,3,3,5,4,4,3,5,4.5,1.5,2,3,3,0,0,2,2,6,5.5,18,18
2dg,1.5,1.5,0,0,3,0.5,1,0.5,0,0.5,1,0,1,0,3,1,0,0,4,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,11,11
2dg,3.5,4,3,4,3,3,2,1,3,3,1,1,0,0.5,4,4,3,3,3,5,2,3,2,3.5,2,2,1.5,1.5,3,3.5,1,0.5,6,5.5,13,13
2dg,5,5,3,3.5,3,3,0,0,3.5,3.5,2,2,4,2.5,3,3,4,4,4,4,1,2.5,3,1.5,2,2,1.5,2.5,3,3,1,1,4.5,4,16,16
2dg,3,2.5,3,3,3,3,0,0,4,4,1,1,0,0,5,6.5,1.5,0.5,3,2.5,1,1.5,0,0,2,2,1.5,0,0,0,0,0,3,1.5,12,12
2dg,5,5,5,5,3,3,6,6.5,2.5,3,2,2,4,5.5,8,7.5,4,4,5,5,6,6,5,5,2,2,1.5,2,7,6.5,2,2,6,6,20,20
2dg,4.5,4.5,5,4.5,3,3,1,3.5,1.5,1,0,0,0,0,3,2,2.5,2.5,2,1.5,1,0.5,0,0,1.5,1.5,1.5,0.5,2,0.5,0,0,0,0,11,11
2ef,5,5,3.5,4,2,3,6,4,3.5,3.5,2,1.5,5,4,7,4,3.5,2.5,3,3.5,6,5,4,4,2,2,3,3,3,3,0,1,6,6,19,19
2ef,4,4,3.5,3,2,3,6,4,3,2,1,0,4,2,6,3,2.5,2,3,4,4,3,3,3.5,2,2,3,1.5,3,2.5,1,0,4.5,4.5,19,18
2ef,5,5,4,2.5,1.5,2,0,0,4,3,1,0,0,0,7,4,3,3,3,4.5,4,3,0,1,1.5,1.5,3,3,0,1.5,0,0,0,0,16,16
2ef,3.5,4,4,5,1.5,1.5,5,5.5,3,3,0,0,5,3,6,5,2.5,4,3,3,4,4,4,4,2,2,3,2,3,5,0,0,3,3,16,16
2ef,5,5,4,3,1.5,2.5,0,0.5,3,3,0,0,0,1,0,0,3,2.5,2,3.5,0,1,0,0,2,2,1.5,3,0,1,0,0,3,3,12,12
2ef,5,5,5,5,3,3,5,2,3.5,4,0,0,4,0,5,7,4,4,5,5,6,4.5,5,4,2,2,3,3,5,5.5,1,2,6,6,19,19
2ef,2.5,3,0,0.5,1.5,3,0,0,0,1.5,0,0,0,0,0,0,0,0,1,3,0,0.5,0,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,14,13
2ef,5,5,4.5,3,1.5,3,0,1,4,3,1,0,2,3,5,3.5,4,3.5,3,4,5,3.5,4,3.5,2,2,3,3,0,0,0,1,6,6,18,18
2ef,4,4,4,3.5,3,3,7,5,4,3,0.5,0,4,2.5,5,5,3.5,3.5,2,3,4,2,4,3,1.5,1.5,3,1.5,0,3,0,0,6,5,16,16
2ef,5,5,5,5,3,3,0,1,4,4,0.5,0,4,2,5,6,3.5,3.5,2,2.5,2,2.5,1,4,2,2,3,2,3,2,2,2,6,5,15,16
2ef,5,5,4,4.5,1.5,3,2,4.5,3,3,1,1,2,3,5,3,1.5,1.5,1,4,2,0,0,0,1.5,2,1.5,1.5,0,2,0,0,6,6,14,16
2ef,5,5,5,5,1.5,3,3,5,3.5,3.5,0,0,2,2.5,7,6,3,3,5,4,4,3,3,2,2,1.5,2,1.5,4,4,2,2,6,6,12,12
2ef,5,5,4,3.5,3,3,0,0,4,4,0,0,2,2,5,3,4,4,4,4,4,4,2,1.5,2,2,3,1.5,2,3,0,0,6,3,12,13
2ef,5,5,5,5,3,3,6,5.5,4,3,1.5,1,5,4.5,6,6,4,3.5,3,3,5,4,2,2,2,2,3,1.5,6,5.5,2,2,6,5.5,19,19
2ef,4.5,5,4,3,1.5,2,0,1,3,2.5,0.5,0,3,1.5,0,0.5,0,0,2,3,0,2.5,0,0,2,2,3,1.5,3,2,0,0,0,1,15,14
2ef,3.5,4.5,3,3,1,1.5,0,2,2,2,0,0,0,0,2,1,0,0,1,5,0,0,0,0,2,1.5,3,1.5,0,0,0,0,0,0,7,6
2eg,5,5,5,5,3,2,7,6,3.5,3,2,1,5,4.5,7,6,4,4,4,5,6,6,5,4.5,2,2,3,3,4,4,2,2,6,6,20,20
2eg,4.5,5,4,5,3,3,3,4,3,3,0,0,4,3.5,4,5,4,3.5,3,4,3,4.5,2,3,1.5,1.5,1.5,1.5,2,3,0,1,3,3,16,17
2eg,2.5,2.5,1,0,1,0,0,0,2,3.5,,0,0,1.5,0,0,0.5,0,2,0,1,1,,0,1.5,1.5,1.5,1.5,0,0,0,0,,0,9,9
2eg,4.5,4.5,4,5,3,2.5,5,7,3,3,1,1,4,4,6,6,4,3.5,4,4,3,4,3,4.5,1.5,2,1.5,2,5,5,0,1,6,6,17,16
2eg,4.5,4.5,3,3.5,2,2,1,0,0,2,,0,1,0,1,0,0,0,2,2,1,1.5,,0,2,2,1.5,1.5,1,3.5,,0,1.5,0,12,12
2eg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2eg,3,3.5,2,1.5,2,2,0,0,3.5,2.5,0,0,4,0,,6,4,3.5,1,2,2,1.5,0,1,2,2,1.5,2,2,2,0,0,3,0,14,14
2eg,2.5,3,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,8,9
2eg,5,5,5,5,3,3,4,6,3.5,3,1,0,1,2,4,6,1.5,3,4,5,3,4,3,4,2,2,0,0,3,3.5,2,2,4.5,4.5,17,19
2eg,5,5,5,4.5,3,3,3,2,2,2.5,1,0,0,1,2,1,4,3.5,4,5,2,2.5,3,2.5,2,2,1.5,1.5,3,2.5,2,2,6,6,14,14
2eg,5,5,3,4,3,2.5,0,1.5,3.5,3,1,0,4,1.5,5,3,0.5,0.5,2,3,0,0,0,0,2,2,1.5,1.5,2,2.5,0,0,6,6,16,17
2eg,4,4,2,2.5,3,2,1,0,4,3.5,1,0,1,1,3,3,4,3,4,4,2,2,0,0,2,2,3,1.5,1,4,0,0,6,4.5,14,14
2eg,0.5,0,1,0,2,1.5,2,1.5,2.5,2.5,0,0,0,1,2,0.5,1.5,1,4,3,1,1.5,0,0,2,2,1.5,1.5,4,3,2,2,6,6,12,13
2eg,4.5,4.5,2,2,3,3,3,1.5,3.5,2,0,0,0,0,4,3,3,3,3,5,2,3,1,3.5,1.5,1.5,1,1.5,2,3.5,0,0,0,0,12,12
2eg,5,5,5,5,3,2.5,4,5.5,2.5,2.5,0,0,5,3.5,5,7,4,3.5,2,3.5,4,5,3,4,2,2,1.5,2,5,2.5,0,0,4.5,2,16,17
2eg,3.5,2.5,1.5,2,3,3,0,0,0,1,1,1,1,0.5,3,2,1.5,1,3,5,2,3,1,2.5,1.5,1.5,3,1.5,2,3,0,1,4.5,4.5,16,16
2fg,2,2.5,3,4,3,3,4,4,2,3,0,0,4,5,6,3,1.5,1.5,3,4,4,3,2,1,1,1,2,3,0,3,0,0,3,3,16,16
2fg,4.5,4.5,5,4.5,3,3,7,6,3.5,3.5,1,2,5,6,6,5,4,4,2,4,5,5,5,5,2,2,3,3,4,6,2,2,6,6,19,18
2fg,5,5,2,2,1.5,2,0,0,3.5,3,0,1,0,0,0,0,1.5,1.5,0,2,1,1,0,0,1.5,1.5,3,1.5,1,1,0,0,0,0,10,10
2fg,3,2,0,0,1,2,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,11,11
2fg,2,2,2.5,3,1.5,2,0,1,1,1.5,0,1,0,0,3,3,0,0,1,3,2,1,0,0,2,2,1.5,1.5,2,2,0,0,6,6,9,9
2fg,4.5,4.5,5,3,3,3,3,2,3.5,3.5,0.5,1,3,3,6,5,4,4,2,3,3,3,3,2,2,2,3,1.5,1,2,0,0,6,6,15,15
2fg,4.5,4.5,4.5,5,1.5,3,0,0,2.5,2,0,0,0,0,5,6,4,4,1,2,4,4,1,0,1.5,1.5,3,1.5,0,1,0,0,0,0,11,11
2fg,4.5,4,5,5,1.5,2,0,0,0,0,0,0,0,0,3,2,3.5,3.5,1,3,2,3,3,2,1.5,1,0,0,1,0,0,0,4.5,4.5,17,15
2fg,4,5,5,4,1.5,3,6,7,4,3.5,1,1,3,4,8,7,3.5,4,4,5,5,4,5,5,2,2,3,3,2,5,2,2,6,6,20,20
2fg,5,5,5,4,3,3,4,2,4,3,0,1,1,1,5,6,2.5,2.5,5,5,2,2,2,1,2,2,3,1.5,1,3,0,0,4.5,4.5,18,18
2fg,4,4,4,3,1.5,2,0,0,4,3,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0.5,0.5,1.5,1.5,1,0,0,0,4.5,3,9,8
2fg,5,5,4,3,3,3,0,0,4,2.5,1,1,2,2,5,5,4,4,5,5,5,4,4,2,2,2,3,1.5,2,5,1,1,6,6,13,13
2fg,5,5,4.5,3,3,3,0,0,4,4,0,0,2,4,3,2,3.5,4,0,2,4,2,0,0,2,2,3,1.5,2,2,0,0,4.5,4.5,12,13
2fg,5,5,5,3.5,1.5,3,0,1,2,0,1,1,2,3,4,5,1,1.5,1,3,3,1,0,0,1.5,1.5,3,1.5,2,2,0,0,6,6,12,12
2fg,4,4,5,3.5,0,2,0,0,1,1,0,1,0,0,4,3,3,3,0,2,4,2,0,0,2,1.5,2,3,1,3,0,0,0,0,15,15
2fg,5,5,4.5,5,1.5,2,3,4,4,3.5,1,1,5,6,6,5,4,4,3,5,6,4,5,5,2,2,3,1.5,3,5,1,1,6,6,18,18
